id_pregunta,curso,tema,pregunta_padre,imagen
1,Habilidad Verbal,Texto Continuo,,
2,Habilidad Verbal,Texto Continuo,1,
3,Habilidad Verbal,Texto Continuo,1,
4,Habilidad Verbal,Texto Continuo,1,
5,Habilidad Verbal,Texto Continuo,1,
6,Habilidad Verbal,Texto Continuo,1,
7,Habilidad Verbal,Texto con imagen,,https://lamula.pe/media/uploads/t/2edc624c554ca75a13b3332c27e708c8.jpg
8,Habilidad Verbal,Texto con imagen,7,
9,Habilidad Verbal,Texto con imagen,7,
10,Habilidad Verbal,Texto con imagen,7,
11,Habilidad Verbal,Texto con imagen,7,
12,Habilidad Verbal,Texto con imagen,7,
13,Lenguaje,Semana 1,,
14,Lenguaje,Semana 1,,
15,Lenguaje,Semana 1,,
16,Lenguaje,Semana 1,,
17,Lenguaje,Semana 1,,
18,Lenguaje,Semana 1,,
19,Lenguaje,Semana 1,,
20,Literatura,Semana 1,,
21,Literatura,Semana 1,,
22,Literatura,Semana 1,,
23,Literatura,Semana 1,,
24,Literatura,Semana 1,,
25,Literatura,Semana 1,,
26,Literatura,Semana 1,,
27,Literatura,Semana 1,,
28,Literatura,Semana 1,,